ITEM,DATE,TIME,PRICE
,,,
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",8/6/2020,12:19:54,24.47
,,,
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",8/6/2020,12:20:25,24.47
,,,
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",8/6/2020,12:20:31,24.47
,,,
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",8/6/2020,12:20:37,24.47
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",08/06/2020,13:59:15,24.45
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",08/06/2020,14:00:23,24.45
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",08/06/2020,14:02:03,24.45
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",08/06/2020,14:04:13,24.45
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",08/06/2020,14:06:39,24.45
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",08/06/2020,14:07:05,24.45
"Tang, Orange Pineapple, Powdered Drink Mix, 20oz Container (Pack of 2)",08/06/2020,14:09:05,24.45
